Species Name,Scientific Name,Region of Origin,Typical Harvest Age,Conservation Status / Vulnerability,Threatened,CITES Status: https://cites.org/sites/default/files/eng/app/2025/E-Appendices-2025-02-07.pdf,IUCN Status,IUCN Population Trend,Notable Sustainability/Conservation Notes,Primary Uses
Fir,Abies spp.,N. Hemisphere (temperate),40–80 years,Not threatened,FALSE,,,,"Softwood, construction, pulp","Construction, pulp, furniture"
Kakaralli,Eschweilera spp.,"S. America (Amazon, Guianas)",60–100+ years,Not listed as threatened,FALSE,,Least Concern,Decreasing,"Tropical, heavy, used for piling, marine work","Piling, marine work, construction"
Lauan,Shorea furfuracea,"SE Asia (Philippines, Malaysia)",40–80 years,Many species endangered/vulnerable https://www.iucnredlist.org/species/pdf/68074543,TRUE,,Vulnerable,Decreasing,https://www.iucnredlist.org/species/pdf/68074543,"Plywood, furniture, construction"
Limonaballi,Humiria balsamifera,"Guyana, Suriname, Brazil",60–80+ years,Not listed as threatened,FALSE,,Least Concern,Stable,"Tropical, durable, construction","Construction, furniture"
Maple,Acer spp.,N. Hemisphere,40–80 years,Not threatened https://web.extension.illinois.edu/askextension/thisQuestion.cfm?ThreadID=11137&catID=198&AskSiteID=87,FALSE,,,,https://web.extension.illinois.edu/askextension/thisQuestion.cfm?ThreadID=11137&catID=198&AskSiteID=87,"Flooring, furniture, sports equipment"
Meranti,Shorea spp.,"SE Asia (Malaysia, Indonesia, Philippines)",40–80 years,Many species endangered/vulnerable; 37 of 59 species critically endangered https://www.rekoforest.org/field-stories/meranti-rawa-symbol-of-hope-and-resilience/,TRUE,,Vulnerable,Decreasing,https://www.rekoforest.org/field-stories/meranti-rawa-symbol-of-hope-and-resilience/,"Plywood, joinery, furniture"
Okoume,Aucoumea klaineana,"W. Africa (Gabon, Congo)",50–70 years,Vulnerable (IUCN)  https://glveneer.com/species/okoume/,TRUE,,Vulnerable,Unspecified,https://glveneer.com/species/okoume/,"Plywood, construction"
Parana Pine,Araucaria angustifolia,"S. Brazil, Paraguay, Argentina",40–60 years,Critically Endangered (IUCN) https://www.bgci.org/news-events/40000-tree-species-now-published-on-the-iucn-red-list/,TRUE,,Critically Endangered,Unknown,https://www.bgci.org/news-events/40000-tree-species-now-published-on-the-iucn-red-list/,"Furniture, construction, joinery"
Paric,Schizolobium parahyba,"S. America (Brazil, Amazon)",20–30 years,Not threatened,FALSE,,Least Concern,Stable,"Fast-growing, plywood, light construction","Plywood, light construction"
Parica,Schizolobium parahyba,"S. America (Brazil, Amazon)",20–30 years,Not threatened,FALSE,,Least Concern,Stable,"Fast-growing, plywood, light construction","Plywood, light construction"
Poplar,Populus spp.,"N. Hemisphere, plantations worldwide",10–30 years (plantation),Not threatened (plantation)  https://www.canr.msu.edu/uploads/396/36452/MANUSCRIPT_2016e.pdf,FALSE,,,,https://www.canr.msu.edu/uploads/396/36452/MANUSCRIPT_2016e.pdf,"Plywood, pulp, furniture"
Radiata Pine,Pinus radiata,"California, Mexico; plantations worldwide",25–30 years,Endangered (native); not threatened in plantations https://conservancy.umn.edu/bitstream/handle/11299/213759/NRRI-TR-2020-15.pdf?sequence=1&isAllowed=y,TRUE,,Endangered,Decreasing,https://conservancy.umn.edu/bitstream/handle/11299/213759/NRRI-TR-2020-15.pdf?sequence=1&isAllowed=y,"Construction, pulp, furniture"
Red Balau,Shorea balangeran,"SE Asia (Malaysia, Indonesia, Philippines)",50–80 years,Many species endangered/vulnerable https://www.woodworkingnetwork.com/wood/pricing-supply/hit-list-materials-expert-names-10-most-endangered-wood-species,TRUE,,Vulnerable,Decreasing,https://www.woodworkingnetwork.com/wood/pricing-supply/hit-list-materials-expert-names-10-most-endangered-wood-species,"Decking, construction, furniture"
Red Meranti,Shorea spp.,"SE Asia (Malaysia, Indonesia, Philippines)",40–80 years,Many species endangered/vulnerable https://www.woodworkingnetwork.com/wood/pricing-supply/hit-list-materials-expert-names-10-most-endangered-wood-species,TRUE,,Near Threatened,Decreasing,https://www.woodworkingnetwork.com/wood/pricing-supply/hit-list-materials-expert-names-10-most-endangered-wood-species,"Joinery, plywood, furniture"
Red Oak,Quercus rubra,N. America,60–100 years,Not threatened https://web.extension.illinois.edu/askextension/thisQuestion.cfm?ThreadID=11137&catID=198&AskSiteID=87,FALSE,,Least Concern,Stable,https://web.extension.illinois.edu/askextension/thisQuestion.cfm?ThreadID=11137&catID=198&AskSiteID=87,"Flooring, furniture, cabinetry"
Rubber Wood,Hevea brasiliensis,"S. America (native), SE Asia (plantations)",20–30 years (plantation),Not threatened (plantation),FALSE,,,,"Plantation, furniture, eco-friendly","Furniture, eco-friendly construction"
Seraya,Shorea spp.,"SE Asia (Malaysia, Indonesia, Philippines)",40–80 years,Many species endangered/vulnerable https://www.woodworkingnetwork.com/wood/pricing-supply/hit-list-materials-expert-names-10-most-endangered-wood-species,TRUE,,Near Threatened,Decreasing,https://www.woodworkingnetwork.com/wood/pricing-supply/hit-list-materials-expert-names-10-most-endangered-wood-species,"Joinery, plywood, furniture"
Spruce,Picea spp.,N. Hemisphere,40–80 years,Not threatened https://www.govinfo.gov/content/pkg/GOVPUB-A13-PURL-gpo62512/pdf/GOVPUB-A13-PURL-gpo62512.pdf,FALSE,,Least Concern,Stable,https://www.govinfo.gov/content/pkg/GOVPUB-A13-PURL-gpo62512/pdf/GOVPUB-A13-PURL-gpo62512.pdf,"Construction, pulp, furniture"
Taeda Pine,Pinus taeda,"SE USA, plantations worldwide",25–35 years,Not threatened (plantation) https://web.extension.illinois.edu/askextension/thisQuestion.cfm?ThreadID=11137&catID=198&AskSiteID=87,FALSE,,,,https://web.extension.illinois.edu/askextension/thisQuestion.cfm?ThreadID=11137&catID=198&AskSiteID=87,"Construction, pulp, furniture"
Teak,Tectona grandis,"S./SE Asia (native), plantations worldwide",20–80 years (plantation),"Vulnerable (IUCN, wild); not threatened in plantations https://farmfolio.net/blogs/managing-high-yielding-teak-operation",TRUE,,Endangered,Decreasing,https://farmfolio.net/blogs/managing-high-yielding-teak-operation,"Furniture, decking, construction"
Uruguayan Pine,Pinus spp.,Uruguay (plantations),20–30 years,Not threatened (plantation),FALSE,,,,"Plantation pine, construction","Construction, pulp"
Virola,Virola spp.,"S. America (Amazon, Guianas)",30–60 years,Not listed as threatened,FALSE,,Least Concern,,"Tropical, plywood, light construction","Plywood, light construction"
Western Red Cedar,Thuja plicata,Western North America,40–80 years,Not threatened https://marketing.avofenceandsupply.com/blog/optimizing-the-harvest-of-eastern-white-cedar,FALSE,,Least Concern,Stable,https://marketing.avofenceandsupply.com/blog/optimizing-the-harvest-of-eastern-white-cedar,"Outdoor construction, siding, decking"
Yarula,Unknown,Unknown,Unknown,Unknown,,,,,Unknown,Unknown
